id,label,label0,label1
28,unknown,unknown,unknown
13,unknown,unknown,unknown
16,unknown,unknown,unknown
4,unknown,unknown,unknown
21,unknown,unknown,unknown
5,unknown,unknown,unknown
6,unknown,unknown,unknown
91,unknown,unknown,unknown
30,unknown,unknown,unknown
7,unknown,unknown,unknown
22,unknown,unknown,unknown
17,unknown,unknown,unknown
8,unknown,unknown,unknown
18,unknown,unknown,unknown
9,unknown,unknown,unknown
23,unknown,unknown,unknown
10,unknown,unknown,unknown
57,unknown,unknown,unknown
11,unknown,unknown,unknown
24,unknown,unknown,unknown
19,unknown,unknown,unknown
31,unknown,unknown,unknown
25,unknown,unknown,unknown
12,unknown,unknown,unknown
58,unknown,unknown,unknown
67,unknown,unknown,unknown
26,unknown,unknown,unknown
20,unknown,unknown,unknown
59,unknown,unknown,unknown
32,unknown,unknown,unknown
60,unknown,unknown,unknown
27,unknown,unknown,unknown
42,unknown,unknown,unknown
77,unknown,unknown,unknown
34,unknown,unknown,unknown
61,unknown,unknown,unknown
35,unknown,unknown,unknown
92,unknown,unknown,unknown
106,unknown,unknown,unknown
98,unknown,unknown,unknown
55,unknown,unknown,unknown
89,unknown,unknown,unknown
63,unknown,unknown,unknown
76,unknown,unknown,unknown
93,unknown,unknown,unknown
104,unknown,unknown,unknown
94,unknown,unknown,unknown
103,unknown,unknown,unknown
105,unknown,unknown,unknown
111,unknown,unknown,unknown
110,unknown,unknown,unknown
115,unknown,unknown,unknown
123,unknown,unknown,unknown
124,unknown,unknown,unknown
125,unknown,unknown,unknown
126,unknown,unknown,unknown
148,unknown,unknown,unknown
129,unknown,unknown,unknown
222,unknown,unknown,unknown
190,unknown,unknown,unknown
133,unknown,unknown,unknown
189,unknown,unknown,unknown
187,unknown,unknown,unknown
134,unknown,unknown,unknown
137,unknown,unknown,unknown
138,unknown,unknown,unknown
139,unknown,unknown,unknown
140,unknown,unknown,unknown
210,unknown,unknown,unknown
199,unknown,unknown,unknown
142,unknown,unknown,unknown
195,unknown,unknown,unknown
211,unknown,unknown,unknown
200,unknown,unknown,unknown
170,unknown,unknown,unknown
171,unknown,unknown,unknown
215,unknown,unknown,unknown
238,unknown,unknown,unknown
206,unknown,unknown,unknown
184,unknown,unknown,unknown
203,unknown,unknown,unknown
185,unknown,unknown,unknown
204,unknown,unknown,unknown
186,unknown,unknown,unknown
197,unknown,unknown,unknown
208,unknown,unknown,unknown
205,unknown,unknown,unknown
198,unknown,unknown,unknown
247,unknown,unknown,unknown
207,unknown,unknown,unknown
233,unknown,unknown,unknown
219,unknown,unknown,unknown
214,unknown,unknown,unknown
209,unknown,unknown,unknown
228,unknown,unknown,unknown
231,unknown,unknown,unknown
229,unknown,unknown,unknown
239,unknown,unknown,unknown
226,unknown,unknown,unknown
236,unknown,unknown,unknown
241,unknown,unknown,unknown
255,unknown,unknown,unknown
254,unknown,unknown,unknown
249,unknown,unknown,unknown
256,unknown,unknown,unknown
243,unknown,unknown,unknown
258,unknown,unknown,unknown
252,unknown,unknown,unknown
242,unknown,unknown,unknown
257,unknown,unknown,unknown
253,unknown,unknown,unknown
350,unknown,unknown,unknown
289,unknown,unknown,unknown
324,unknown,unknown,unknown
312,unknown,unknown,unknown
308,unknown,unknown,unknown
273,unknown,unknown,unknown
261,unknown,unknown,unknown
310,unknown,unknown,unknown
342,unknown,unknown,unknown
277,unknown,unknown,unknown
314,unknown,unknown,unknown
295,unknown,unknown,unknown
262,unknown,unknown,unknown
274,unknown,unknown,unknown
307,unknown,unknown,unknown
300,unknown,unknown,unknown
299,unknown,unknown,unknown
345,unknown,unknown,unknown
320,unknown,unknown,unknown
275,unknown,unknown,unknown
291,unknown,unknown,unknown
269,unknown,unknown,unknown
276,unknown,unknown,unknown
301,unknown,unknown,unknown
287,unknown,unknown,unknown
